Sample	Tissue	id_type	Metric	Count	Total	Percentage
B31.isoforms	Brain	gene_name	TP	25	29	86.20689655172414
B31.isoforms	Brain	gene_name	PTP	2	29	6.896551724137931
B31.isoforms	Brain	gene_name	FP	2	29	6.896551724137931
B31.isoforms	Brain	gene_name	FN	0	29	0
B32.isoforms	Brain	gene_name	TP	24	29	82.75862068965517
B32.isoforms	Brain	gene_name	PTP	1	29	3.4482758620689653
B32.isoforms	Brain	gene_name	FP	3	29	10.344827586206897
B32.isoforms	Brain	gene_name	FN	1	29	3.4482758620689653
B33.isoforms	Brain	gene_name	TP	25	34	73.52941176470588
B33.isoforms	Brain	gene_name	PTP	1	34	2.9411764705882355
B33.isoforms	Brain	gene_name	FP	6	34	17.647058823529413
B33.isoforms	Brain	gene_name	FN	2	34	5.882352941176471
B34.isoforms	Brain	gene_name	TP	23	30	76.66666666666667
B34.isoforms	Brain	gene_name	PTP	3	30	10
B34.isoforms	Brain	gene_name	FP	3	30	10
B34.isoforms	Brain	gene_name	FN	1	30	3.3333333333333335
B35.isoforms	Brain	gene_name	TP	24	29	82.75862068965517
B35.isoforms	Brain	gene_name	PTP	2	29	6.896551724137931
B35.isoforms	Brain	gene_name	FP	2	29	6.896551724137931
B35.isoforms	Brain	gene_name	FN	1	29	3.4482758620689653
K31.isoforms	Kidney	gene_name	TP	22	31	70.96774193548387
K31.isoforms	Kidney	gene_name	PTP	3	31	9.67741935483871
K31.isoforms	Kidney	gene_name	FP	5	31	16.129032258064516
K31.isoforms	Kidney	gene_name	FN	1	31	3.225806451612903
K32.isoforms	Kidney	gene_name	TP	22	29	75.86206896551724
K32.isoforms	Kidney	gene_name	PTP	4	29	13.793103448275861
K32.isoforms	Kidney	gene_name	FP	2	29	6.896551724137931
K32.isoforms	Kidney	gene_name	FN	1	29	3.4482758620689653
K33.isoforms	Kidney	gene_name	TP	21	29	72.41379310344827
K33.isoforms	Kidney	gene_name	PTP	3	29	10.344827586206897
K33.isoforms	Kidney	gene_name	FP	4	29	13.793103448275861
K33.isoforms	Kidney	gene_name	FN	1	29	3.4482758620689653
K34.isoforms	Kidney	gene_name	TP	20	26	76.92307692307692
K34.isoforms	Kidney	gene_name	PTP	4	26	15.384615384615385
K34.isoforms	Kidney	gene_name	FP	1	26	3.8461538461538463
K34.isoforms	Kidney	gene_name	FN	1	26	3.8461538461538463
K35.isoforms	Kidney	gene_name	TP	20	26	76.92307692307692
K35.isoforms	Kidney	gene_name	PTP	3	26	11.538461538461538
K35.isoforms	Kidney	gene_name	FP	1	26	3.8461538461538463
K35.isoforms	Kidney	gene_name	FN	2	26	7.6923076923076925
